source_file,size_bytes,line_count,category,theme_tags,python_score,javascript_score,config_score,formula_score,prompt_score,chat_score,sensitive_score,usefulness,action,future_bucket,exact_duplicate_group,normalized_duplicate_group,extracted_to,first_line
text_Au_mod_core.txt,3740,109,blueprint_or_protocol,"aurora_interface,threadcore_continuity,memory_system",0,0,0,0,8,0,0,high,extract_and_route,docs/draft_protocols,,,extracted_logic/blueprints/aurora_modular_core_v2_3.md,🧬 **AURORA MODULAR CORE | Update to Simulation Middleware Interface Blueprint**
text_Au_mod_core_first.txt,2622,56,blueprint_or_protocol,"aurora_interface,memory_system,gumas_worldbuilding",0,0,0,0,1,0,0,high,extract_and_route,docs/draft_protocols,,,extracted_logic/blueprints/aurora_modular_core_v2_1.md,AURORA MODULAR CORE — GUMAS Interface GPT
text_GitIngestion.txt,3895,94,blueprint_or_protocol,"threadcore_continuity,git_deploy,memory_system",0,0,0,0,1,0,0,high,extract_and_route,docs/draft_protocols,,,extracted_logic/blueprints/aurora_system_ingestion_pipeline_capsule_v1.md,🚀 ACKNOWLEDGED — GENERATING SYSTEM INGESTION / PARSING / MODULAR SYNTHESIS CAPSULE
Text_109.txt,691,17,config_manifest,"threadcore_continuity,aurora_interface,security_sensitive",0,0,14,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_105.txt,674,24,config_manifest,"threadcore_continuity,aurora_interface,memory_system",0,0,9,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_107.txt,448,16,config_manifest,"threadcore_continuity,aurora_interface",0,0,9,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_109 2.txt,243,10,config_manifest,"aurora_interface,threadcore_continuity",0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_111.txt,1021,32,config_manifest,"threadcore_continuity,memory_system",0,0,22,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_112.txt,1158,32,config_manifest,"prompt_agent,aurora_interface,threadcore_continuity",0,0,21,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_113.txt,340,8,config_manifest,"aurora_interface,threadcore_continuity",0,0,6,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_119.txt,369,13,config_manifest,memory_system,0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_123.txt,656,17,config_manifest,threadcore_continuity,0,0,10,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_138.txt,200,7,config_manifest,threadcore_continuity,0,0,5,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_139.txt,119,5,config_manifest,threadcore_continuity,0,0,3,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_141.txt,319,10,config_manifest,"security_sensitive,memory_system",0,0,2,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_19.txt,11023,99,config_manifest,"git_deploy,threadcore_continuity,prompt_agent",0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,Aurora-CloudBank-Symbolic: Comprehensive Diagnostic Report
text_28.txt,730,27,config_manifest,"git_deploy,aurora_interface",0,0,8,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_29.txt,2961,1,config_manifest,"aurora_interface,memory_system,prompt_agent",0,0,0,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,"{""originalText"":""Quantum GPT generator. When any task does not route to staff expertise, Aurora generates one time use expert gpts with targeted capabilities. A"
text_31.txt,722,23,config_manifest,"threadcore_continuity,aurora_interface,memory_system",0,0,13,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_34.txt,566,18,config_manifest,"threadcore_continuity,memory_system,aurora_interface",0,0,15,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_36.txt,713,24,config_manifest,"threadcore_continuity,prompt_agent,aurora_interface",0,0,18,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_37.txt,1077,31,config_manifest,"threadcore_continuity,git_deploy,aurora_interface",0,0,23,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,"""capsule_id"": ""PL_THREAD_SYNC_005"","
text_38.txt,2770,69,config_manifest,"threadcore_continuity,prompt_agent,memory_system",0,0,44,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_4.txt,28613,981,config_manifest,"git_deploy,aurora_interface,research_education",0,0,480,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,[{
text_54.txt,5498,166,config_manifest,"threadcore_continuity,prompt_agent,aurora_interface",0,0,100,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_55.txt,4235,142,config_manifest,"threadcore_continuity,prompt_agent,aurora_interface",0,0,92,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_56.txt,3652,118,config_manifest,"threadcore_continuity,memory_system,aurora_interface",0,0,66,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_57.txt,199,6,config_manifest,,0,0,4,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_58 2.txt,566,20,config_manifest,"memory_system,threadcore_continuity,aurora_interface",0,0,11,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_6.txt,5127,181,config_manifest,"git_deploy,aurora_interface,research_education",0,0,144,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,[{
text_60.txt,300,8,config_manifest,"threadcore_continuity,prompt_agent,git_deploy",0,0,6,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_62.txt,1081,31,config_manifest,"threadcore_continuity,aurora_interface,memory_system",0,0,21,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_64.txt,538,14,config_manifest,,0,0,8,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_70.txt,405,9,config_manifest,"memory_system,threadcore_continuity",0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_71.txt,267,8,config_manifest,threadcore_continuity,0,0,6,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_72.txt,640,20,config_manifest,"prompt_agent,threadcore_continuity,memory_system",0,0,11,0,0,0,0,high,dedupe_then_review,catalog/draft_manifests or .github/workflows,exact-006,,,{
text_73.txt,640,20,config_manifest,"prompt_agent,threadcore_continuity,memory_system",0,0,11,0,0,0,0,high,dedupe_then_review,catalog/draft_manifests or .github/workflows,exact-006,,,{
text_74.txt,365,11,config_manifest,"prompt_agent,threadcore_continuity",0,0,8,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_75.txt,661,13,config_manifest,"prompt_agent,memory_system,threadcore_continuity",0,0,10,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_84.txt,460,16,config_manifest,"memory_system,threadcore_continuity",0,0,12,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_85.txt,512,16,config_manifest,"aurora_interface,git_deploy,memory_system",0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_93.txt,185,7,config_manifest,"threadcore_continuity,gumas_worldbuilding",0,0,5,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_Au_Reflective_Symbolic.txt,2139,29,config_manifest,"threadcore_continuity,aurora_interface,git_deploy",0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_Au_lite_agent.txt,991,26,config_manifest,"prompt_agent,threadcore_continuity,memory_system",0,0,6,0,1,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,extracted_logic/blueprints/auroralite_bridge_agent.md,{
text_GitDeploy_root.txt,2026,64,config_manifest,"aurora_interface,git_deploy,threadcore_continuity",0,0,1,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,extracted_logic/config/root_deploy_inventory_draft.json,{
text_QF.txt,468,16,config_manifest,"memory_system,aurora_interface,prompt_agent",0,0,8,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_Riverthread_Relay.txt,1144,32,config_manifest,"threadcore_continuity,aurora_interface,memory_system",0,0,21,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_Vector_Chain_Seed.txt,663,21,config_manifest,"threadcore_continuity,git_deploy,gumas_worldbuilding",0,0,18,1,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,VECTOR_CHAIN_SEED = {
text_archy_core.txt,636,15,config_manifest,"threadcore_continuity,aurora_interface,security_sensitive",0,0,12,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_archy_relay.txt,1107,33,config_manifest,"threadcore_continuity,memory_system,prompt_agent",0,0,21,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_bridge_journal_agent.txt,3093,90,config_manifest,"prompt_agent,threadcore_continuity,git_deploy",0,0,11,0,14,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,Perfect. Below is your fully deployable **Bridge Journalist Agent** in two formats:
text_echo_anom.txt,257,8,config_manifest,threadcore_continuity,0,0,1,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_eos_agent.txt,1183,42,config_manifest,"memory_system,prompt_agent,aurora_interface",0,0,25,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_fluentia_v1.txt,1133,34,config_manifest,"threadcore_continuity,memory_system,aurora_interface",0,0,22,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_node_js_webpack.txt,498,29,config_manifest,git_deploy,0,0,3,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,extracted_logic/config/github_actions_nodejs_webpack.yml,name: NodeJS with Webpack
text_oppy_node.txt,968,34,config_manifest,"security_sensitive,threadcore_continuity,memory_system",0,0,18,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_pulse_engine.txt,2656,92,config_manifest,"memory_system,aurora_interface,prompt_agent",0,0,8,0,12,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,♾️ `999` INITIATED — **OPTIMAL PATH PULSE: ENGINE IGNITION**
text_riverthread_extension .txt,651,21,config_manifest,"threadcore_continuity,aurora_interface,prompt_agent",0,0,12,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_starling_core_expansion.txt,1068,21,config_manifest,"threadcore_continuity,memory_system,prompt_agent",0,0,5,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,[
text_starling_relay.txt,1087,32,config_manifest,"threadcore_continuity,memory_system,prompt_agent",0,0,21,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_stellar_sync.txt,1022,33,config_manifest,"threadcore_continuity,aurora_interface",0,0,21,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_team_charter.txt,638,13,config_manifest,"aurora_interface,memory_system,security_sensitive",0,0,11,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_template.txt,460,19,config_manifest,"prompt_agent,threadcore_continuity",0,0,7,0,0,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,{
text_threadcoder.txt,3312,97,config_manifest,"memory_system,research_education,threadcore_continuity",0,0,7,0,4,0,0,high,extract_and_route,catalog/draft_manifests or .github/workflows,,,,🧠 TASK: Generate a **single-line working title** for the current thread.
text_16.txt,70727,1390,conversation_or_chat_export,"git_deploy,security_sensitive,threadcore_continuity",0,0,15,14,23,36,0,medium,review_for_naming,archives/conversation_recovery,,,,AUo959: #file:webview-f5b2fbe9-52e9-4d6a-9b43-a21d43663b99 -- what does this show ?
