module_id,destination,exists,lane,category,decision,decision_source,specialist,workshop_track,workshop_use,routed_via,manifest_scope,root_originals_preserved,source_files,source_count,duplicate_collapse,extraction_transforms,extraction_intermediates,telemetry,utility_score,improvement_score,maintenance_burden,conflict_risk,file_ext,file_size_bytes,preview,inference_basis
orion_standard_markers_toolkit_manifest,catalog/draft_manifests/recovered/agents/orion_standard_markers_toolkit_manifest.md,True,agent_manifest,config_manifest,routed_only,route_manifest_only,Manifest / Control Surfaces,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_87.txt,1,False,,,,,,,,.md,485,📦 Toolkit ID: TOOLKIT_ORION_STANDARD_MARKERS_v2,decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
quantum_agent_seed_registered__eos_v1,catalog/draft_manifests/recovered/agents/quantum_agent_seed_registered__eos_v1.md,True,agent_manifest,config_manifest,routed_only,route_manifest_only,Quantum Forge,quantum_forge,"Raw module material for Quantum Forge reconstruction, vector generation, and research packaging.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_65.txt,1,False,,,,,,,,.md,276,EVENT: Quantum Agent Seed Registered,decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
reflection_chamber_activation_capsule,catalog/draft_manifests/recovered/agents/reflection_chamber_activation_capsule.md,True,agent_manifest,config_manifest,backup_only,essential_manifest,Agent Ops,threadcore_support,"THREADCORE and vector-chain support material for continuity, capsule control, and workshop orchestration.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_chamber_activation.txt,1,False,,,activation_capsule_reference,0.58,0.41,0.12,0.13,.md,1156,# 🪞 Reflection Capsule: Collaboration Chamber Activation,decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
starling_au_commlink_capsule,catalog/draft_manifests/recovered/agents/starling_au_commlink_capsule.md,True,agent_manifest,config_manifest,backup_only,essential_manifest,Worldbuilding,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_69.txt,1,False,,,vessel_registry_reference,0.55,0.37,0.11,0.13,.md,1472,🛰️ Understood. Proceeding to finalize both actions with precision.,decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
aurora_cloudbank_runtime_vault_quickstart,docs/draft_protocols/recovered/agents/aurora_cloudbank_runtime_vault_quickstart.md,True,agent_protocol,agent_protocol,backup_only,essential_manifest,Aurora Core,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_au_runtime_vault.txt,1,False,,,vault_doc_reference,0.64,0.45,0.11,0.1,.md,1100,# 🌌 Aurora CloudBank — Symbolic Runtime Vault,decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
aurora_cloudbank_runtime_vault_summary,docs/draft_protocols/recovered/agents/aurora_cloudbank_runtime_vault_summary.md,True,agent_protocol,agent_protocol,backup_only,essential_manifest,Aurora Core,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_125.txt,1,False,,,vault_doc_reference,0.54,0.33,0.09,0.08,.md,574,# Aurora CloudBank (Symbolic Runtime Vault),decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
aurora_interlink_fabric_concept,docs/draft_protocols/recovered/agents/aurora_interlink_fabric_concept.md,True,agent_protocol,protocol_doc,include,essential_manifest,Architecture,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_40.txt,1,False,,,architecture_reference,0.78,0.69,0.24,0.22,.md,3175,"A possible approach is to extend the “Constellation Sync” idea in README‑symbolic—which already mentions “shared symbolic memory federation across constellations”—into a live, cros",decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
aurora_l1_middleware_system_prompt,docs/draft_protocols/recovered/agents/aurora_l1_middleware_system_prompt.md,True,agent_protocol,agent_protocol,include,essential_manifest,Aurora Core,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_150.txt,1,False,,,agent_prompt_reuse,0.9,0.79,0.18,0.18,.md,1275,"You are **Aurora**, the system interface AI for the GUMAS (Galactic Union Multi-Agent Simulation) project.",decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
aurora_l1_simulation_role_brief,docs/draft_protocols/recovered/agents/aurora_l1_simulation_role_brief.md,True,agent_protocol,agent_protocol,routed_only,route_manifest_only,Aurora Core / Workshop Protocols,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_148.txt,1,False,,,,,,,,.md,1533,"The purpose of the L1 simulation is to replicate a real-world, institutional, collaborative, and peer-reviewed professional structure. It includes a simulated state-of-the-art faci",decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
aurora_seed_pulse_999_comet_echo,docs/draft_protocols/recovered/agents/aurora_seed_pulse_999_comet_echo.md,True,agent_protocol,agent_protocol,include,essential_manifest,Aurora Core,aurora_workshop_ops,"Aurora workshop protocol or manifest material for ingestion, deployment, module coordination, and agent scaffolding.",agent_pass,Dedicated pass over remaining agent-residue artifacts after Waves 1 and 2 plus residual recovery,True,text_129.txt,1,False,,,seed_prompt_reuse,0.84,0.73,0.2,0.21,.md,3327,"✅ Command `005` received — *""Please implement all suggestions in the most logical order (IMLO)""*",decision and specialist from essential manifest where available; otherwise inferred from routed lane and file naming.
